wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
424,75,6,Engleterre,engleterre,NPR,1511,angleterre_I|Z,N,N,,518,,/V\.C/e\.'C/V\.C/(e)\
425,76,1,le,le,DET:def,1519,le_S,Det,Det,le,519,,C/(e)\
426,76,2,bonne,bonne,ADJ,1520,bon_+C,Adj,Adj,bon,519,,'C/V\.C/(e)\
427,76,3,chité,chité,VER,1521,<unknown>,N,N,,519,,C/V\.'C/V\
428,76,4,de,de,PRE,1522,de_+S,Pre,Pre,de,519,,C/(e)\
429,76,5,Bervich,bervich,NPR,1523,<unknown>,N,N,,519,,C/V\.'C/V\
430,77,1,par,par,PRE,1530,par_S,Pre,Pre,par1,520,,C/V\
431,77,2,deux,deux,ADJ:card,1531,deus_CZ,QIs,QIs,2,520,,C/V\
432,77,3,fois,fois,NOM,1532,fais|foi|foiz_+T|+C|+CT,N,N,,520,,C/V\
433,77,4,dedens,dedens,ADV,1533,dedenz_Z,PrA,PrA,dedans,520,,C/V\.'C/V\
434,77,5,leurs,leurs,DET:poss,1534,lor2_S,Det,Det,leur2,520,,C/V\
435,77,6,pays,pays,NOM,1535,pais|päis_*+CIT|+IdTd,N,N,,520,,C/V\.'C/V\
436,78,1,et,et,CON:coord,1536,et_S,Crd,Crd,et,520,,/V\
437,78,2,au,au,PREDET:a,1537,a+le_S,Pre+Det,Pre+Det,à+le,520,,/V\
438,78,3,darrain,darrain,ADJ,1538,däerrain_+T,Adj,Adj,,520,,C/V\.'C/V\
439,78,4,",",",",PON,1539,",",Pnc,Pnc,,520,,
440,78,5,yaux,yaux,NOM,1540,<nolem>,Prn,Prn,3p,520,,/V\
441,78,6,tous,tous,PRO:ind,1541,tot_S,QIs,QIs,tout,521,c,C/V\
442,78,7,destruis,destruis,VER,1542,destruire_+Z,Vpp,Vpp,détruire,521,,C/V\.'C/V\
443,79,1,yaux,yaux,NOM,1540,<nolem>,Prn,Prn,3p,520,,/V\
444,79,2,tous,tous,PRO:ind,1541,tot_S,QIs,QIs,tout,521,c,C/V\
445,79,3,destruis,destruis,VER,1542,destruire_+Z,Vpp,Vpp,détruire,521,,C/V\.'C/V\
446,79,4,et,et,CON:coord,1543,et_S,Crd,Crd,et,521,,/V\
447,79,5,desconfis,desconfis,VER,1544,desconfire_*+I,Vpp,Vpp,,521,,C/V\.C/V\.'C/V\
448,80,1,eurent,eurent,VER,1553,avoir_+MMd,Vfin,Vfin,avoir1,521,,'/V\.C/e\
449,80,2,pluiseurs,pluiseurs,DET:ind,1554,plusor_S,QIs,QIs,plusieurs,521,,C/V\.'C/V\
450,80,3,fois,fois,NOM,1555,fais|foi|foiz_+T|+C|+CT,N,N,,522,,C/V\
451,80,4,parlement,parlement,NOM,1556,parlement_+IT,N,N,,522,c,C/V\.C/e\.'C/V\
452,81,1,de,de,PRE,1570,de_+S,Pre,Pre,de,523,,C/(e)\
453,81,2,Lancastre,lancastre,NPR,1571,<unknown>,N,N,,523,,C/V\.'C/V\.C/(e)\
