lex_id,syll_str,in_el,fin_el,ms,backwards dd
chanlite,vvs,n,y,,
chanoine,vvs,n,y,,
chanoynie,vvvs,n,y,,
chanp,v,n,n,,
chanpel,vv,n,n,,
chanpene,vvs,n,y,,
chans,v,n,n,,
chanson,vv,n,n,,
chant,v,n,n,,
chanta,vv,n,n,,
chantai,vv,n,n,,
chantans,vv,n,n,,
chantant,vv,n,n,,
chantasse,vvs,n,y,,
chantat,vv,n,n,,
chante,vs,n,y,,
chanté,vv,n,n,,
chantee,vvs,n,y,,
chantees,vvs,n,n,,
chanteient,vvs,n,n,,
chanteir,vv,n,n,,
chanteit,vv,n,n,,
chantent,vs,n,n,,
chanter,vv,n,n,,
chantera,vsv,n,n,,
chanterai,vsv,n,n,,
chantés,vv,n,n,,
chantez,vv,n,n,,
chantier,vv,n,n,,
chantoient,vvs,n,n,,
chantons,vv,n,n,,
chantore,vvs,n,y,,
chantres,vs,n,n,,
chanu,vv,n,n,,
chanue,vvs,n,y,,
chanus,vv,n,n,,
chanut,vv,n,n,,
chanuz,vv,n,n,,
chanz,v,n,n,,
chanzberiere,vsvs,n,n,,
chaoir,hv,n,n,,
chape,vs,n,y,,
chapeaulx,vv,n,n,,
chapel,vv,n,n,,
chapelaine,vsvs,n,y,,
chapelains,vsv,n,n,,
chapele,vvs,n,y,,
chapelein,vsv,n,n,,
chapeleins,vsv,n,n,,
chapelier,vsv,n,n,,
chapelle,vvs,n,y,,
chapelles,vvs,n,n,,
chaperon,vsv,n,n,,
chapitre,vvs,n,y,,
chaple,vs,n,y,,
chappeau,vv,n,n,,
chappeaux,vv,n,n,,
chappel,vv,n,n,,
chappelle,vvs,n,y,,
chapperon,vsv,n,n,,
chapperons,vsv,n,n,,
chappin,vv,n,n,,
chappitre,vvs,n,y,,
char,v,n,n,,
charbon,vv,n,n,,
charbonnee,vvvs,n,y,,
charbonnees,vvvs,n,n,,
charbonnier,vvv,n,n,,
chardons,vv,n,n,,
charecterie,vvsvs,n,y,,
charenton,vsv,n,n,,
chargay,vv,n,n,,
charge,vs,n,y,,
charger,vv,n,n,,
charget,vs,n,n,,
chargié,vv,n,n,,
chargieëz,vvs,n,n,,
chargies,vvs,n,n,,
chargiés,vv,n,n,,
chargiét,vv,n,n,,
chargiez,vv,n,n,,
charie,vvs,n,y,,
charitable,vvvs,n,y,,
charité,vvv,n,n,,
charitei,vvv,n,n,,
charitez,vvv,n,n,,
charle,vs,n,y,,
charlemaine,vsvs,n,y,,
charlemaines,vsvs,n,n,,
charlemene,vsvs,n,y,,
charles,vs,n,n,,
charlon,vv,n,n,,
charlot,vv,n,n,,
charlun,vv,n,n,,
charme,vs,n,y,,
charmes,vs,n,n,,
charn,v,n,n,,
charnel,vv,n,n,,
charnelment,vvv,n,n,,
charnelz,vv,n,n,,
charneus,vhv,n,n,,
charns,v,n,n,,
charoingne,vvs,n,y,,
charpentaz,vvv,n,n,,
charpenté,vvv,n,n,,
charpenteit,vvv,n,n,,
charpentier,vvv,n,n,,
charrete,vvs,n,y,,
charretees,vsvs,n,n,,
charretiers,vsv,n,n,,
charretons,vsv,n,n,,
charriere,vvs,n,y,,
charriotz,vvv,n,n,,
charroi,vv,n,n,,
charroloys,vvv,n,n,,
charroy,vv,n,n,,
chars,v,n,n,,
chartain,vv,n,n,,
charteins,vv,n,n,,
charterie,vsvs,n,y,,
chartre,vs,n,y,,
chartres,vs,n,n,,
chartreux,vv,n,n,,
charuau,vvv,n,n,,
charue,vvs,n,y,,
chasc,v,n,n,,
chasc',v,n,n,,
chasce,vs,n,y,,
chaschune,vvs,n,y,,
chascons,vv,n,n,,
chascun,vv,n,n,,
chascune,vvs,n,y,,
chascunne,vvs,n,y,,
chascuns,vv,n,n,,
chasçurs,vv,n,n,,
chasé,vv,n,n,,
chasement,vsv,n,n,,
chasés,vv,n,n,,
chasez,vv,n,n,,
chasqu,v,n,n,,
chassans,vv,n,n,,
chasse,vs,n,y,,
chassé,vv,n,n,,
chasser,vv,n,n,,
chassés,vv,n,n,,
chassez,vv,n,n,,
chassie,vvs,n,y,,
chassiez,vrr,n,n,,
chast,v,n,n,,
chastaignes,vvs,n,n,,
chaste,vs,n,y,,
chasteaulx,vv,n,n,,
chasteaus,vv,n,n,,
chasteaux,vv,n,n,,
chastel,vv,n,n,,
chastelain,vsv,n,n,,
chastelaine,vsvs,n,y,,
chastele,vvs,n,y,,
chastelet,vsv,n,n,,
chastellains,vsv,n,n,,
chastels,vv,n,n,,
chastement,vsv,n,n,,
chasteté,vsv,n,n,,
chastetez,vsv,n,n,,
chasteus,vv,n,n,,
chasti,vv,n,n,,
chastia,vvv,n,n,,
chastiaulx,vv,n,n,,
chastiaus,vv,n,n,"=chasteus, triph.",
chastiax,vv,n,n,,
chastie,vvs,n,y,,
chastié,vvv,n,n,,
chastiel,vv,n,n,,
chastiement,vvsv,n,n,,
chastier,vvv,n,n,,
chastiereit,vvv,n,n,,
chastierresse,vvss,n,y,,
chastiez,vvv,n,n,,
chastioit,vvv,n,n,,
chastoie,vvs,n,y,,
chastoier,vvv,n,n,,
chastoy,vv,n,n,,
chat,v,n,n,,
chatei,vv,n,n,,
chatel,vv,n,n,,
chatillier,vvv,n,n,,
chauce,vs,n,y,,
chaucement,vsv,n,n,,
chaucie,vvs,n,y,,
chauciees,vvs,n,n,,
chaucier,vv,n,n,,
chauciés,vv,n,n,,
chauciez,vv,n,n,,
chaucun,vv,n,n,,
chaucune,vvs,n,y,,
chaucuns,vv,n,n,,
chaud,v,n,n,,
chaude,vs,n,y,,
chaudeaux,vv,n,n,,
chaudes,vs,n,n,,
chaudiere,vvs,n,y,,
chauf',v,n,n,,
chaufee,vvs,n,y,,
chaufer,vv,n,n,,
chaulmont,vv,n,n,,
chault,v,n,n,,
chaulx,v,n,n,,
chaunga,vv,n,n,,
chauntant,vv,n,n,,
chaunter,vv,n,n,,
chausés,vv,n,n,,
chaussee,vvs,n,y,,
chaussetrappes,vsvs,n,n,,
chaut,v,n,n,,
chauz,v,n,n,,
chavance,vvs,n,y,,
chaÿ,vv,n,n,,
chayphas,vv,n,n,,
che,s,n,y,,
cheance,hvs,n,y,,
checun,vv,n,n,,
ched,v,n,n,,
chedent,vs,n,n,,
cheens,hv,n,n,,
cheent,vs,n,n,,
cheet,vs,n,y,,
chef,v,n,n,,
chei,vv,n,n,,
cheis,v,n,n,,
chel,v,n,n,,
chele,vs,n,y,,
chelerai,esv,n,n,,
cheles,vs,n,n,,
cheli,ev,n,n,,
chelles,vs,n,n,,
chelui,ev,n,n,,
chemin,ev,n,n,,
chemina,evv,n,n,,
cheminant,evv,n,n,,
cheminay,evv,n,n,,
chemine,evs,n,y,,
cheminee,evvs,n,y,,
cheminer,evv,n,n,,
cheminesson,evsv,n,n,,
chemins,ev,n,n,,
chemise,evs,n,y,,
chenaus,ev,n,n,,
chenel,ev,n,n,,
chens,v,n,n,,
chent,v,n,n,,
chenu,ev,n,n,,
chenue,evs,n,y,,
chenuis,ev,n,n,,
chenuz,ev,n,n,,
cheoir,hv,n,n,,
cheoit,hv,n,n,,
cher,v,n,n,,
cherä,vs,n,y,,
cherche,vs,n,y,,
cherché,vv,n,n,,
chercher,vv,n,n,,
chercier,vv,n,n,,
chere,vs,n,y,,
chergiés,vv,n,n,,
cheri,vv,n,n,,
cherir,vv,n,n,,
cheris,ev,n,n,,
chernuble,vvs,n,y,,
chernubles,vvs,n,n,,
cherroient,evs,n,n,,
chers,v,n,n,,
chertainnement,vvsv,n,n,,
chertains,vv,n,n,,
cherté,vv,n,n,,
chertes,vs,n,n,,
cherubins,evv,n,n,,
chervel,vv,n,n,,
ches,v,n,n,,
chescons,vv,n,n,,
chescoun,ev,n,n,,
chescun,vv,n,n,,
chescune,vvs,n,y,,
chescuns,ev,n,n,,
chesne,vs,n,y,,
chest,v,n,n,,
cheste,vs,n,y,,
chestives,vvs,n,n,,
chestui,vv,n,n,,
chesun,ev,n,n,,
chesvaulz,ev,n,n,,
chet,v,n,n,,
chetiaus,ev,n,n,,
chetif,ev,n,n,,
chetis,vv,n,n,,
chetive,evs,n,y,,
chetives,vvs,n,n,,
chetiveté,evsv,n,n,,
chetivoison,evvv,n,n,,
chetiz,vv,n,n,,
cheu,hv,n,n,,
cheualchet,evs,n,y,,
cheualer,evv,n,n,,
cheualers,evv,n,n,,
cheuals,ev,n,n,,
cheuance,evs,n,y,,
cheuauchet,evs,n,y,,
cheue,hvs,n,y,,
cheulx,v,n,n,,
cheuols,ev,n,n,,
cheus,v,n,n,chez,
cheüs,hv,n,n,,
cheus_1,v,n,n,"""= ceus",
cheut,v,n,n,,
cheüt,hv,n,n,,
cheuz,hv,n,n,,
cheüz,hv,n,n,,
chevacha,evv,n,n,,
chevachant,evv,n,n,,
chevacherent,evvs,n,n,,
chevachier,evv,n,n,,
cheval,ev,n,n,,
chevalcha,evv,n,n,,
chevalchent,evs,n,n,,
chevalchet,evs,n,y,,
chevalchez,evv,n,n,,
chevaleir,evv,n,n,,
chevaler,evv,n,n,,
chevaleresse,evsvs,n,y,,
chevalereuse,evsvs,n,y,,
chevalereuses,evsvs,n,n,,
chevalereux,evsv,n,n,,
chevalerie,evsvs,n,y,,
chevaleries,evsvs,n,n,,
chevaleros,evsv,n,n,,
chevalers,evv,n,n,,
chevalerus,evsv,n,n,,
chevalier,evv,n,n,,
chevaliers,evv,n,n,,
chevalir,evv,n,n,,
chevalire,evvs,n,y,,
chevallereus,evsv,n,n,,
chevallerie,evvvs,n,y,,
chevallerye,evsvs,n,y,,
chevallier,evv,n,n,,
chevalliers,evv,n,n,,
chevals,ev,n,n,,
chevalx,ev,n,n,,
chevalz,ev,n,n,,
chevance,evs,n,y,,
chevances,evs,n,n,,
chevauca,vvv,n,n,,
chevaucha,evv,n,n,,
chevauchai,evv,n,n,,
chevauchant,evv,n,n,,
chevauchassent,evvs,n,n,,
chevauchay,evv,n,n,,
chevauche,evs,n,y,,
chevauchent,evs,n,n,,
chevaucherent,evvs,n,n,,
chevaucheroit,evsv,n,n,,
chevauchet,evs,n,y,,
chevauchie,evvs,n,y,,
chevauchié,evv,n,n,,
chevauchier,evv,n,n,,
chevauchier,vvv,n,n,,
chevauchierent,evvs,n,n,,
chevauchiez,evv,n,n,,
chevauchoie,evvs,n,y,,
chevauchoient,evvs,n,n,,
chevauchoit,evv,n,n,,
chevauchons,evv,n,n,,
chevauchoyent,evvs,n,n,,
chevaucier,vvv,n,n,,
chevaul,ev,n,n,,
chevaulx,ev,n,n,,
chevaulz,ev,n,n,,
chevaus,ev,n,n,,
chevax,ev,n,n,,
chevel,ev,n,n,,
cheveleure,evhvs,n,y,,
chevelier,esv,n,n,,
cheveliers,esv,n,n,,
chevelure,esvs,n,y,,
chevet,ev,n,n,,
chevetaines,esvs,n,n,,
cheveulx,ev,n,n,,
cheveus,ev,n,n,,
cheveux,ev,n,n,,
cheveuz,ev,n,n,,
chevez,ev,n,n,,
cheviel,ev,n,n,,
cheville,evs,n,y,,
chevir,ev,n,n,,
chevirons,evv,n,n,,
chevit,ev,n,n,,
chevoilz,ev,n,n,,
chevols,ev,n,n,,
chevous,ev,n,n,,
chevrol,ev,n,n,,
chevron,ev,n,n,,
chevus,ev,n,n,,
cheÿ,hv,n,n,,
chi,v,n,n,,
chi',v,n,n,,
chiauls,v,n,n,,
chiaus,v,n,n,,
chicaner,vvv,n,n,,
chiche,vs,n,y,,
chiches,vs,n,n,,
chiece,vs,n,y,,
chiee,vs,n,y,,
chieef,v,n,n,,
chieent,vs,n,n,,
chief,v,n,n,,
chiel,v,n,n,,
chielperics,vsv,n,n,,
chielperig,vsv,n,n,,
chielperin,vvv,n,n,,
chielpering,vsv,n,n,,
chielperings,vsv,n,n,,
chielt,v,n,n,,
chien,v,n,n,,
chiennet,vv,n,n,,
chiens,v,n,n,,
chienz,v,n,n,,
chier,v,n,n,,
chiere,vs,n,y,,
chierement,vsv,n,n,,
chieres,vs,n,n,,
chierges,vs,n,n,,
chierie,vvs,n,y,,
chierir,vv,n,n,,
chierist,vv,n,n,,
chierre,vs,n,y,,
chiers,v,n,n,,
chierté,vv,n,n,,
chiertes,vs,n,n,,
chiés,v,n,n,,
chiet,v,n,n,,
chiét,v,n,n,,
chieus,v,n,n,,
chieux,v,n,n,,
chievre,vs,n,y,,
chiex,v,n,n,,
chiez,v,n,n,,
chil,v,n,n,,
chile,vs,n,y,,
chils,v,n,n,,
chilz,v,n,n,,
chimin,vv,n,n,,
chimins,vv,n,n,,
chincquante,vvs,n,y,,
chir,v,n,n,,
chire,vs,n,y,,
chis,v,n,n,,
chist,v,n,n,,
chité,vv,n,n,,
chiuls,v,n,n,,
chius,v,n,n,,
chivaleirs,vvv,n,n,,
chivaler,vvv,n,n,,
chivalerie,vvsvs,n,y,,
chivalers,vvv,n,n,,
chivellerie,vvsvs,n,y,,
chivellier,vsv,n,n,,
chivellierz,vsv,n,n,,
cho,v,n,n,,
choi,v,n,n,,
chois,v,n,n,,
choisi,vv,n,n,,
choisie,vvs,n,y,,
choisir,vv,n,n,,
choisirent,vvs,n,n,,
choisiroient,vvvs,n,n,,
choisiroit,vvv,n,n,,
choisisse,vvs,n,y,,
choisissez,vvv,n,n,,
choisist,vv,n,n,,
choisit,vv,n,n,,
choisiz,vv,n,n,,
choisy,vv,n,n,,
choites,vs,n,n,,
chol,v,n,n,,
cholet,vv,n,n,,
chollet,vv,n,n,,
chomin,vv,n,n,,
chomme,vs,n,y,,
choppay,vv,n,n,,
choroche,vvs,n,n,,
chors,v,n,n,,
chose,vs,n,y,,
choser,vv,n,n,,
choses,vs,n,n,,
chosëz,vs,n,n,,
chosir,vv,n,n,,
chosit,vv,n,n,,
chou,v,n,n,,
chouse,vs,n,y,,
choysi,vv,n,n,,
choze,vs,n,n,,
chozes,vs,n,n,,
chrestien,vdd,n,n,,
chrestientét,vddv,n,n,,
christi,vs,n,n,,
christiien,vvv,n,n,,
christofle,vvs,n,y,,
christus,vs,n,n,,
chu,v,n,n,,
chut,v,n,n,,
chy,v,n,n,,
ci,v,n,n,,
cialz,v,n,n,,
ciaulz,v,n,n,,
ciaus,v,n,n,,
ciax,v,n,n,,
ciecles,vs,n,n,,
cief,v,n,n,,
ciel,v,n,n,,
ciel',v,n,n,,
ciels,v,n,n,,
cielz,v,n,n,,
cier,v,n,n,,
ciere,vs,n,y,,
cieres,vs,n,n,,
ciers,v,n,n,,
ciertain,vv,n,n,,
ciertes,vs,n,n,,
cies,v,n,n,,
ciest,v,n,n,,
ciet,v,n,n,,
cieulx,v,n,n,,
cieus,v,n,n,,
cieux,v,n,n,,
ciex,v,n,n,,
ciffla,vv,n,n,,
cigne,vs,n,y,,
cil,v,n,n,,
cillä,vs,n,y,,
cille,vs,n,y,,
cils,v,n,n,,
cilz,v,n,n,,
cimetire,vsvs,n,y,,
cin,v,n,n,,
cinc,v,n,n,,
cinch,v,n,n,,
cincq,v,n,n,,
cincquante,vvs,n,y,,
cincqz,v,n,n,,
cinglans,vv,n,n,,
cinq,v,n,n,,
cinqs,v,n,n,,
cinquante,vvs,n,y,,
cint,v,n,n,,
cio,v,n,n,,
cipio,vvv,n,n,,
ciptad,vv,n,n,,
ciptat,vv,n,n,,
ciptét,vv,n,n,,
circe,vs,n,y,,
circonstansces,vvvs,n,n,,
circuit,vv,n,n,,
circuité,vvvv,n,n,,
cire,vs,n,y,,
cirencestre,vvvs,n,y,,
cirge,vs,n,y,,
cis,v,n,n,,
cisailles,vvs,n,n,,
ciseau,vv,n,n,,
cisel,vv,n,n,,
cisle,vs,n,y,,
cist,v,n,n,,
cistiaus,vv,n,n,,
cit,v,n,n,,
citariste,vvvs,n,y,,
cité,vv,n,n,,
citéd,vv,n,n,,
citee,vvs,n,y,,
citei,vv,n,n,,
citeit,vv,n,n,,
citeiz,vv,n,n,,
cités,vv,n,n,,
citét,vv,n,n,,
citey,vv,n,n,,
citez,vv,n,n,,
citiéd,vv,n,n,,
citiét,vv,n,n,,
cituee,vvvs,n,y,,
ciu,v,n,n,,
ciuls,v,n,n,,
cius,v,n,n,,
ciutat,vv,n,n,,
clacquedent,vsv,n,n,,
claim,v,n,n,,
claime,vs,n,y,,
claiment,vs,n,n,,
claimes,vs,n,n,,
claimet,vs,n,n,,
claimme,vs,n,y,,
claimoit,vv,n,n,,
claing,v,n,n,,
claint,v,n,n,,
clair,v,n,n,,
clama,vv,n,n,,
clamai,vv,n,n,,
clamair,vv,n,n,,
clamant,vv,n,n,,
clamast,vv,n,n,,
clame,vs,n,y,,
clamé,vv,n,n,,
clamee,vvs,n,y,,
clamei,vv,n,n,,
clameie,vvs,n,y,,
clameir,vv,n,n,,
clamer,vv,n,n,,
clamerai,vsv,n,n,,
clameras,vsv,n,n,,
clameroit,vsv,n,n,,
clamés,vv,n,n,,
clamessiés,vvv,n,n,,
clamez,vv,n,n,,
clamiés,vv,n,n,,
clamiez,vrr,n,n,,
clamma,vv,n,n,,
clamoient,vvs,n,n,,
clamoit,vv,n,n,,
clamons,vv,n,n,,
clamor,vv,n,n,,
clamors,vv,n,n,,
clamour,vv,n,n,,
claples,vs,n,n,,
claquedent,vsv,n,n,,
clar,v,n,n,,
claré,vv,n,n,,
clarét,vv,n,n,,
clari,vv,n,n,,
claris,vv,n,n,,
claritét,vvv,n,n,,
clarté,vv,n,n,,
clartei,vv,n,n,,
clartey,vv,n,n,,
claufisdrent,vvs,n,n,,
claus,v,n,n,,
clause,vs,n,y,,
clef,v,n,n,,
clefs,v,n,n,,
cleim,v,n,n,,
cleime,vs,n,y,,
cleiment,vs,n,n,,
cleir,v,n,n,,
cleirs,v,n,n,,
clemence,evs,n,y,,
clement,ev,n,n,,
clementiä,evs,n,y,,
cler,v,n,n,,
clerc,v,n,n,,
clerçon,vv,n,n,,
clerçons,vv,n,n,,
clercs,v,n,n,,
clere,vs,n,y,,
clerement,vsv,n,n,,
cleres,vs,n,n,,
clergé,vv,n,n,,
clergestre,vvs,n,y,,
clergie,vvs,n,y,,
clergié,vv,n,n,,
clergier,vv,n,n,,
clergies,vvs,n,n,,
clergise,vvs,n,y,,
clergons,vv,n,n,,
clerj',v,n,n,,
clerjés,vv,n,n,,
clerk,v,n,n,,
clerks,v,n,n,,
clermont,vv,n,n,,
clers,v,n,n,,
cliçon,vv,n,n,,
cligni,vv,n,n,,
climent,vv,n,n,name - clement,
clin,v,n,n,,
clinant,vv,n,n,,
cline,vs,n,y,,
clinent,vs,n,n,,
cliner,vv,n,n,,
clinét,vv,n,n,,
clingnete,vvs,n,y,,
clins,v,n,n,,
clique,vs,n,y,,
clo,v,n,n,,
cloans,vv,n,n,,
clocha,vv,n,n,,
clochant,vv,n,n,,
cloches,vs,n,n,,
clochetes,vvs,n,n,,
clochier,vv,n,n,,
clochoit,vv,n,n,,
clocquettes,vvs,n,n,,
cloés,vv,n,n,,
cloevis,vhv,n,n,,
clofichiez,vvv,n,n,,
cloirent,vs,n,n,,
cloistre,vs,n,y,,
clooit,vv,n,n,,
cloot,vv,n,n,,
cloovis,hvv,n,n,,
clooye,vvs,n,y,,
clore,vs,n,y,,
clorray,vv,n,n,,
clos,v,n,n,,
close,vs,n,y,,
closes,vs,n,n,,
closfichier,vvv,n,n,,
closture,vvs,n,y,,
clot,v,n,n,,
cloue,vs,n,y,,
cloué,vv,n,n,,
cloufichié,vvv,n,n,,
clourre,vs,n,y,,
clous,v,n,n,,
clouse,vs,n,y,,
clouz,v,n,n,,
clovis,vv,n,n,,
clox,v,n,n,,
cloÿ,vv,n,n,,
clungnetant,vsv,n,n,,
cluny,vv,n,n,,
cmme,vs,n,n,=comme,
co,v,n,n,,
ço,v,n,n,,
ço',v,n,n,,
coaguloit,vvvv,n,n,,
coardise,vvvs,n,y,,
coart,vv,n,n,,
cobetad,vsv,n,n,,
coc,v,n,n,,
cocha,vv,n,n,,
çoche,vs,n,y,,
cocher,vv,n,n,,
cochier,vv,n,n,,
cochons,vv,n,n,,
cocquemart,vsv,n,n,,
cocquins,vv,n,n,,
cocu,vv,n,n,,
cocue,vvs,n,y,,
cocus,vv,n,n,,
codorlahomor,vvvvv,n,n,,
coems,v,n,n,,
coenart,vsv,n,n,,
coenes,vs,n,n,,
coens,v,n,n,,
coer,v,n,n,,
coers,v,n,n,,
coeur,v,n,n,,
cœur,v,n,n,,
coeuvre,vs,n,y,,
coffres,vs,n,n,,
cofinel,vvv,n,n,,
cogitation,vvvvv,n,n,,
cogneu,vhv,n,n,,
cognissables,vvvs,n,n,,
cognissance,vvvs,n,y,,
cognissiés,vvv,n,n,,
cognissoit,vvv,n,n,,
cognissons,vvv,n,n,,
cognistera,vvsv,n,n,,
cognoguist,vvv,n,n,,
cognois,vv,n,n,,
cognoisçance,vvvs,n,y,,
cognoisés,vvv,n,n,,
cognoissance,vvvs,n,y,,
cognoissence,vvvs,n,y,,
cognoistre,vvs,n,y,,
cognoistrez,vvv,n,n,,
cognoistroient,vvvs,n,n,,
cognoiz,vv,n,n,,
cognoust,vhv,n,n,,
cognoy,vv,n,n,,
cognoys,vv,n,n,,
cognu,vv,n,n,,
cognus,vv,n,n,,
cognust,vv,n,n,,
coi,v,n,n,,
coie,vs,n,y,,
coiement,vsv,n,n,,
coife,vs,n,y,,
coignie,vvs,n,y,,
coigniee,vvs,n,y,,
coignoit,vv,n,n,,
coilles,vs,n,n,,
coilli,vv,n,n,,
coine,vs,n,y,,
coing,v,n,n,,
coingniee,vvs,n,y,,
coins,v,n,n,,
cointe,vs,n,y,,
cointement,vsv,n,n,,
cointerel,vsv,n,n,,
cointeriaus,vsv,n,n,,
cointes,vs,n,n,,
cointier,vvv,n,n,,
cointise,vvs,n,y,,
cointoie,vvs,n,y,,
cointoiier,vvv,n,n,,
cois,v,n,n,,
coise,vs,n,y,,
coisie,vvs,n,y,,
coisins,vv,n,n,,
coisir,vv,n,n,,
coist,v,n,n,,
coite,vs,n,y,,
coiti,vv,n,n,,
coitié,vv,n,n,,
coitier,vv,n,n,,
coiz,v,n,n,,
col,v,n,n,,
cola,vv,n,n,,
colaire,vvs,n,y,,
colars,vv,n,n,,
colcer,vv,n,n,,
colchet,vs,n,y,,
colchét,vv,n,n,,
cole,vs,n,y,,
colee,vvs,n,y,,
colees,vvs,n,n,,
colejar,vvv,n,n,,
colemi,vsv,n,n,,
coleneis,vsv,n,n,,
colent,vv,n,n,,
coler,vv,n,n,,
coles,vs,n,n,,
colét,vv,n,n,,
coleur,vv,n,n,,
coleure,vvs,n,y,,
coliast,vvv,n,n,,
colier,vvv,n,n,,
colin,vv,n,n,,
collateur,vvv,n,n,,
colleiz,vhv,n,n,,
collét,vv,n,n,,
colli,vv,n,n,,
collit,vv,n,n,,
coloigne,vvs,n,y,,
colomb,vv,n,n,,
colons,vv,n,n,,
coloré,vvv,n,n,,
colorez,vvv,n,n,,
colors,vv,n,n,,
colour,vv,n,n,,
colp,v,n,n,,
colpäs,vs,n,n,,
colpe,vs,n,y,,
colperai,vsv,n,n,,
colpes,vs,n,n,,
colps,v,n,n,,
cols,v,n,n,,
colui,vv,n,n,,
çolui,vv,n,n,,
columpnes,vvs,n,n,,
colur,vv,n,n,,
coluré,vvv,n,n,,
colurs,vv,n,n,,
com,v,n,n,,
comance,vvs,n,y,,
comand,vv,n,n,,
comanda,vvv,n,n,,
comandai,vvv,n,n,,
comandas,vvv,n,n,,
comandat,vvv,n,n,,
comande,vvs,n,y,,
comandé,vvv,n,n,,
comandeir,vvv,n,n,,
comandemans,vvsv,n,n,,
comandemanz,vvsv,n,n,,
comandemens,vvsv,n,n,,
comandement,vvsv,n,n,,
comandemenz,vvsv,n,n,,
comandent,vvs,n,n,,
comander,vvv,n,n,,
comandés,vvv,n,n,,
comandet,vvs,n,y,,
comandét,vvv,n,n,,
comandethe,vvvs,n,y,,
comandons,vvv,n,n,,
comans,vv,n,n,,
comanserent,vvvs,n,n,,
comant,vv,n,n,,
comaundera,vvvv,n,n,,
combat,vv,n,n,,
combatant,vvv,n,n,,
combate,vvs,n,y,,
combatent,vvs,n,n,,
combateours,vvhv,n,n,,
combateroie,vvsvs,n,y,,
combatés,vvv,n,n,,
combati,vvv,n,n,,
combatirent,vvvs,n,n,,
combatist,vvv,n,n,,
combatit,vvv,n,n,,
combatomes,vvvs,n,n,,
combaton,vvv,n,n,,
combatra,vvv,n,n,,
combatre,vvs,n,y,,
combatroie,vvvs,n,y,,
combatroit,vvv,n,n,,
combatront,vvv,n,n,,
combattre,vvs,n,y,,
combatu,vvv,n,n,,
combaty,vvv,n,n,,
combe,vs,n,y,,
combien,vv,n,n,,
comble,vs,n,y,,
combles,vs,n,n,,
come,vs,n,y,,
comebien,vsv,n,n,,
comença,vvv,n,n,,
comencas,vvv,n,n,,
comencastes,vvvs,n,n,,
comence,vvs,n,y,,
comencement,vvsv,n,n,,
comencent,vvs,n,n,,
comencha,vvv,n,n,,
comencherons,vvsv,n,n,,
comenchier,vvv,n,n,,
comenchire,vvvs,n,y,,
comencier,vvv,n,n,,
comencierent,vvvs,n,n,,
coment,vv,n,n,,
comferma,vvv,n,n,,
comfont,vv,n,n,,
comfort,vv,n,n,,
comm,v,n,n,,
commancai,vvv,n,n,,
commance,vvs,n,y,,
commancemens,vvsv,n,n,,
commancer,vvv,n,n,,
command,vv,n,n,,
commanda,vvv,n,n,,
commandasse,vvvs,n,y,,
commandast,vvv,n,n,,
commandastes,vvvs,n,n,,
commandat,vvv,n,n,,
commande,vvs,n,y,,
commandé,vvv,n,n,,
commandee,vvvs,n,y,,
commandemens,vvsv,n,n,,
commandement,vvsv,n,n,,
commandemenz,vvsv,n,n,,
commander,vvv,n,n,,
commandés,vvv,n,n,,
commandez,vvv,n,n,,
commandoit,vvv,n,n,,
commant,vv,n,n,,
commanz,vv,n,n,,
comme,vs,n,y,,
commenca,vvv,n,n,,
commença,vvv,n,n,,
commençai,vvv,n,n,,
commençay,vvv,n,n,,
commence,vvs,n,y,,
commencé,vvv,n,n,,
commenceasmes,vvvs,n,n,,
commencemens,vvsv,n,n,,
commencement,vvsv,n,n,,
commencent,vvs,n,n,,
commenceray,vvsv,n,n,,
commencerent,vvvs,n,n,,
commencet,vvs,n,n,,
commencha,vvv,n,n,,
commenche,vvs,n,y,,
commenchie,vvvs,n,y,,
commenchié,vvv,n,n,,
commenchier,vvv,n,n,,
commenchierent,vvvs,n,n,,
commencie,vvvs,n,y,,
commencié,vvv,n,n,,
commencier,vvv,n,n,,
commençoit,vvv,n,n,,
commenda,vvv,n,n,,
commendo,vvv,n,n,,
comment,vv,n,n,,
commenzat,vvv,n,n,,
commere,vvs,n,y,,
commeres,vvs,n,n,,
commise,vvs,n,y,,
commun,vv,n,n,,
commune,vvs,n,y,,
communel,vvv,n,n,,
communelment,vvvv,n,n,,
communemant,vvsv,n,n,,
communement,vvsv,n,n,,
communiét,vvvv,n,n,,
communs,vv,n,n,,
commynges,vvs,n,n,,
comnencie,vvvs,n,y,,
comnent,vv,n,n,,
compagnie,vvv,n,n,,
compagnon,vvv,n,n,,
compagnons,vvv,n,n,,
compaignant,vvv,n,n,,
compaigne,vvs,n,y,,
compaignes,vvs,n,n,,
compaignie,vvvs,n,y,,
compaignies,vvvs,n,n,,
compaigniun,vvv,n,n,,
compaigniuns,vvv,n,n,,
compaignon,vvv,n,n,,
compaignons,vvv,n,n,,
compaignonz,vvv,n,n,,
compaignun,vvv,n,n,,
compaignuns,vvv,n,n,,
compaignye,vvvs,n,y,,
compaing,vv,n,n,,
compainge,vvs,n,y,,
compaingne,vvs,n,y,,
compaingnie,vvvs,n,y,,
compaingnon,vvv,n,n,,
compaingnons,vvv,n,n,,
compains,vv,n,n,,
compainz,vv,n,n,,
compangnie,vvvs,n,y,,
companie,vvvs,n,y,,
