lex_id,syll_str,in_el,fin_el,ms,backwards dd,syllabified
sude,vs,n,y,,,'C/V\.C/(e)\
tailliet,vv,n,n,,,C/V\.'C/V\
tortes,vs,n,n,,,'C/V\.C/e\
toujours,vv,n,n,,,C/V\.'C/V\
tourniiet,vvv,n,n,,,C/V\.C/V\.'C/V\
trettent,vs,n,n,,,'C/V\.C/e\
vaillanment,vvv,n,n,,,C/V\.C/V\.'C/V\
veilloient,vvs,n,n,,,C/V\.'C/V\.C/e\
veneours,vhv,n,n,,,C/V\.C/[V]\.'/V\
villonnie,vvvs,n,y,,,C/V\.C/V\.'C/V\.C/(e)\
voiiés,vv,n,n,,,C/V\.'C/V\
voires,vs,n,n,,,'C/V\.C/e\
vorriemes,vdds,n,n,,,C/V\.C/{V}\.'/V\.C/e\
witisme,vvs,n,y,,,C/V\.'C/V\.C/(e)\
yewains,vv,n,n,,,C/V\.'C/V\
armeures,vhvs,y,n,,,/V\.C/[V]\.'/V\.C/e\
chevaucier,vvv,n,n,,,C/V\.C/V\.'C/V\
cogneu,vhv,n,n,,,C/V\.C/[V]\.'/V\
conjoist,vvv,n,n,,,C/V\.C/V\.'C/V\
hermont,vv,n,n,,,C/V\.'C/V\
recogneu,vvhv,n,n,,,C/V\.C/V\.C/[V]\.'/V\
reçuistes,vvvs,n,n,,,C/V\.C/V\.'C/V\.C/e\
