"wd_id","line_id","linewd","word","lex_id","tag","textlineid","lemma"
3459,530,4,"un","un","DET:ndf",2939,"un_S"
3460,530,5,"tournoi","tournoi","NOM",2939,"tornois_*+C"
3461,530,6,"petit","petit","ADJ",2939,"petit_+CIT"
3462,530,7,",",",","PON",2939,","
3463,531,1,"Pou","pou","ADV",2940,"poi_*I"
3464,531,2,"priseroient","priseroient","VER",2940,"prisier_*+I"
3465,531,3,"voir","voir","ADJ",2940,"voir_+IT"
3466,531,4,"mon","mon","DET:poss",2940,"mon1_S"
3467,531,5,"dit","dit","VER",2940,"dire_+CMI"
3468,532,1,"Li","li","DET:def",2941,"le_S"
3469,532,2,"saige","saige","ADJ",2941,"sage_+I"
3470,532,3,"et","et","CON:coord",2941,"et_S"
3471,532,4,"m'","m'","PRO:pers",2941,"je_S"
3472,532,5,"en","en","PRO:clit",2941,"en2_S"
3473,532,6,"moqueroient","moqueroient","VER",2941,"moquer_*+T"
3474,533,1,"Et","et","CON:coord",2942,"et_S"
3475,533,2,"pour","pour","PRE",2942,"por2_+S"
3476,533,3,"sophiste","sophiste","NOM",2942,"sofiste_T"
3477,533,4,"me","me","PRO:pers",2942,"je_S"
3478,533,5,"tenroient","tenroient","VER",2942,"tenir_M"
3479,533,6,".",".","PON",2942,"."
3480,534,1,"Ces","ces","DET:demo",2943,"cel|cest_S|S"
3481,534,2,"choses","choses","NOM",2943,"chose_+CI"
3482,534,3,"ci","ci","ADV",2943,"ci_+CIT"
3483,534,4,"fait","fait","VER",2943,"faire|farre_+CMI|M"
3484,534,5,"vous","vous","PRO:pers",2943,"vos1_S"
3485,534,6,"avez","avez","VER",2943,"avoir_+IM"
3486,535,1,"En","en","PRE",2944,"en1_+S"
3487,535,2,"ce","ce","DET:demo",2944,"cel|cist_S|S"
3488,535,3,"pain","pain","NOM",2944,"pain_+IT"
3489,535,4,"qui","qui","PROCON",2944,"qui_S"
3490,535,5,"est","est","VER",2944,"ester|estre1_+M|+I"
3491,535,6,"desguisés","desguisés","VER",2944,"<unknown>"
3492,535,7,",",",","PON",2944,","
3493,536,1,"Et","et","CON:coord",2971,"et_S"
3494,536,2,"encor","encor","ADV",2971,"encore_+CIT"
3495,536,3,"plus","plus","ADV",2971,"plus_CI"
3496,536,4,"ce","ce","PRO:invar",2971,"ce1_S"
3497,536,5,"me","me","PRO:pers",2971,"je_S"
3498,536,6,"desplaist","desplaist","VER",2971,"desplaire_+Z"
3499,537,1,"Et","et","CON:coord",2972,"et_S"
3500,537,2,"Nature","nature","NOM",2972,"nature_+IT"
3501,537,3,"pas","pas","NOM",2972,"pas|past2_+IT|+T"
3502,537,4,"ne","ne","PRO:clit",2972,"en2_S"
3503,537,5,"s'","s'","PRO:pers",2972,"soi1_S"
3504,537,6,"en","en","PRO:clit",2972,"en2_S"
3505,537,7,"test","test","VER",2972,"taire|teisir_+IM|M"
3506,538,1,"Que","que","PROCON",2973,"que3_S"
3507,538,2,"ma","ma","DET:poss",2973,"mon1_S"
3508,538,3,"maxime","maxime","NPR",2973,"<nolem>"
3509,538,4,"approuvée","approuvée","VER",2973,"<unknown>"
3510,539,1,"Faussee","faussee","VER",2974,"fausser_*+IMT"
3511,539,2,"avez","avez","VER",2974,"avoir_+IM"
3512,539,3,"et","et","CON:coord",2974,"et_S"
3513,539,4,"reprouvee","reprouvee","VER",2974,"reprover_*+IT"
3514,539,5,".",".","PON",2974,"."
3515,540,1,"Oncques","oncques","ADV",2975,"onque_+Z"
3516,540,2,"mais","mais","CON:coord",2975,"mais_S"
3517,540,3,"voir","voir","ADJ",2975,"voir_+IT"
3518,540,4,"parler","parler","VER",2975,"parler_+MIT"
3519,540,5,"n'","n'","PRO:clit",2975,"en2_S"
3520,540,6,"oï","oï","VER",2975,"öir_+I"
3521,541,1,"Ne","ne","PRO:clit",2976,"en2_S"
3522,541,2,"en","en","PRE",2976,"en1_+S"
3523,541,3,"ma","ma","DET:poss",2976,"mon1_S"
3524,541,4,"vie","vie","NOM",2976,"vie1|voie_+T|+T"
3525,541,5,"je","je","PRO:pers",2976,"je_S"
3526,541,6,"ne","ne","PRO:clit",2976,"en2_S"
3527,541,7,"vi","vi","VER",2976,"vëoir_+IM"
3528,542,1,"Quë","que","VER",2977,"<unknown>"
3529,542,2,"un","un","DET:ndf",2977,"un_S"
3530,542,3,"tout","tout","PRO:ind",2977,"tot_S"
3531,542,4,",",",","PON",2977,","
3532,542,5,"quel","quel","ADJ",2977,"quel_C"
3533,542,6,"que","que","PROCON",2977,"que3_S"
3534,542,7,"il","il","PRO:pers",2977,"il_S"
3535,542,8,"fëust","feust","VER",2977,"<unknown>"
3536,542,9,",",",","PON",2977,","
3537,543,1,"De","de","PRE",2978,"de_+S"
3538,543,2,"sa","sa","DET:poss",2978,"son4_S"
3539,543,3,"part","part","NOM",2978,"part1|part2|part3|part4_+IT|+T|+T|+T"
3540,543,4,"greigneur","greigneur","ADJ",2978,"graignor_*+CI"
3541,543,5,"ne","ne","PRO:clit",2978,"en2_S"
3542,543,6,"fëust","feust","VER",2978,"<unknown>"
3543,543,7,",",",","PON",2978,","
3544,544,1,"Mes","mes","NOM",2979,"mas|mes1|mes2|mes3|mes4|mois_+T|+T|+T|+T|+IT|+T"
3545,544,2,",",",","PON",2979,","
3546,544,3,"la","la","DET:def",2979,"le_S"
3547,544,4,"partie","partie","NOM",2979,"partie_+CIT"
3548,544,5,",",",","PON",2979,","
3549,544,6,"ce","ce","PRO:invar",2979,"ce1_S"
3550,544,7,"savez","savez","VER",2979,"savoir_+MI"
3551,544,8,",",",","PON",2979,","
3552,545,1,"Aussi","aussi","ADV",2980,"aussi_+CIT"
3553,545,2,"grant","grant","ADJ",2980,"grant_+CIT"
3554,545,3,"com","com","CON:subord",2980,"come1_S"
