"wd_id","line_id","linewd","lex_id","tag","textlineid","TT lemma"
351,53,2,"sa","DET:poss",53,"son4_S"
352,53,3,"valour","NOM",53,"valor_*+CIT"
353,53,4,",","PON",53,","
354,53,5,"pour","PRE",53,"por2_+S"
355,53,6,"sa","DET:poss",53,"son4_S"
356,53,7,"noblece","NOM",53,"noblece_+IT"
357,53,8,".","PON",53,"."
358,54,1,"certes","ADV",54,"certes_+IT"
359,54,2,",","PON",54,","
360,54,3,"c'","PRO:invar",54,"ce1_S"
361,54,4,"est","VER",54,"ester|estre1_+M|+I"
362,54,5,"une","DET:ndf",54,"un_S"
363,54,6,"bonne","ADJ",54,"bon_+C"
364,54,7,"tece","NOM",54,"<nolem>"
365,55,1,"que","PROCON",55,"que3_S"
366,55,2,"uns","DET:ndf",55,"un_S"
367,55,3,"grans","ADJ",55,"grant_+I"
368,55,4,"sires","NOM",55,"seignor_+CI"
369,55,5,"puet","VER",55,"pöoir_+I"
370,55,6,"avoir","VER",55,"avoir_+MIT"
371,56,1,"d'","PRE",56,"de_+S"
372,56,2,"estre","VER",56,"entr'estre|estre1_+M|+IT"
373,56,3,"larges","ADJ",56,"large_+I"
374,56,4,"de","PRE",56,"de_+S"
375,56,5,"son","DET:poss",56,"son4_S"
376,56,6,"avoir","VER",56,"avoir_+MIT"
377,56,7,",","PON",56,","
378,57,1,"car","CON:coord",57,"car_S"
379,57,2,"par","PRE",57,"par_S"
380,57,3,"dons","NOM",57,"don_+I"
381,57,4,"acquert","VER",57,"<unknown>"
382,57,5,"on","PREDET:en",57,"en1+le_S"
383,57,6,"amis","NOM",57,"ami_+I"
384,58,1,"et","CON:coord",58,"et_S"
385,58,2,"conquert","VER",58,"conquerre_+Z"
386,58,3,"on","PRO:invar",58,"on_S"
387,58,4,"ses","DET:poss",58,"son4_S"
388,58,5,"ennemis","NOM",58,"enemi_*+I"
389,58,6,".","PON",58,"."
390,59,1,"pluiseur","PRO:ind",59,"plusor_S"
391,59,2,"signeur","NOM",59,"seignor_+C"
392,59,3,"l'","PRO:pers",59,"il_S"
393,59,4,"ont","VER",59,"avoir|devoir_+CIM|+M"
394,59,5,"esprouvé","VER",59,"esprover_*+I"
395,60,1,"et","CON:coord",60,"et_S"
396,60,2,"je","PRO:pers",60,"je_S"
397,60,3,"l'","PRO:pers",60,"il_S"
398,60,4,"aroie","VER",60,"avoir_+M"
399,60,5,"tost","ADV",60,"tost1|tost_+T|CI"
400,60,6,"prouvé","VER",60,"prover_+M"
401,61,1,"par","PRE",61,"par_S"
402,61,2,"karle","NPR",61,"charle_Z"
403,61,3,",","PON",61,","
404,61,4,"le","DET:def",61,"le_S"
405,61,5,"roi","NOM",61,"ri|roi1|roi2|roi3|rois1|roit2|roiz|ré4_+T|+T|+IT|+T|+T|+T|+T|+T"
406,61,6,"de","PRE",61,"de_+S"
407,61,7,"behagne","NPR",61,"<unknown>"
408,61,8,",","PON",61,","
409,62,1,"qui","PROCON",62,"qui_S"
410,62,2,"faire","VER",62,"faire_+MIT"
411,62,3,"a","PRE",62,"a_S"
412,62,4,"tous","DET:ind",62,"tot_S"
413,62,5,"largece","NOM",62,"largece_+IT"
414,62,6,"ensagne","VER",62,"enseignier_+M"
415,63,1,"selonc","PRE",63,"selonc_S"
416,63,2,"leur","PRO:pers",63,"lor2_S"
417,63,3,"pooir","VER",63,"pöoir_+IIdTd"
418,63,4,"et","CON:coord",63,"et_S"
419,63,5,"leur","PRO:pers",63,"lor2_S"
420,63,6,"mise","VER",63,"metre|mettre_IM|M"
421,63,7,";","PON",63,";"
422,64,1,"la","DET:def",64,"le_S"
423,64,2,"glose","NOM",64,"glose_+T"
424,64,3,"n'","PRO:clit",64,"en2_S"
425,64,4,"est","VER",64,"ester|estre1_+M|+I"
426,64,5,"ailleurs","ADV",64,"ailleurs_G"
427,64,6,"commise","VER",64,"<unknown>"
428,64,7,".","PON",64,"."
429,65,1,"li","DET:def",65,"le_S"
430,65,2,"bons","ADJ",65,"bon_+CI"
431,65,3,"rois","NOM",65,"roi2|rois1|rois2|roix_+I|+T|+T|+T"
432,65,4,"que","PROCON",65,"que3_S"
433,65,5,"je","PRO:pers",65,"je_S"
434,65,6,"nomme","VER",65,"nomer|nommer_+C|M"
435,65,7,"chi","ADV",65,"ci_+Z"
436,65,8,",","PON",65,","
437,66,1,"c'","PRO:invar",66,"ce1_S"
438,66,2,"est","VER",66,"ester|estre1_+M|+I"
439,66,3,"chils","NPR",66,"<unknown>"
440,66,4,"qui","PROCON",66,"qui_S"
441,66,5,"remest","VER",66,"remanoir_+I"
442,66,6,"a","PRE",66,"a_S"
443,66,7,"crechi","VER",66,"<unknown>"
444,66,8,",","PON",66,","
445,67,1,"qui","PROCON",67,"qui_S"
446,67,2,"tant","ADV",67,"tant_CI"
447,67,3,"fu","VER",67,"estre1|estre_+I|CMI"
448,67,4,"larges","ADJ",67,"large_+I"
449,67,5,"et","CON:coord",67,"et_S"
450,67,6,"courtois","ADJ",67,"cortois_*+IT"
451,68,1,"que","PROCON",68,"que3_S"
452,68,2,",","PON",68,","
453,68,3,"de","PRE",68,"de_+S"
454,68,4,"prusse","VER",68,"<unknown>"
455,68,5,"jusqu'","ADV",68,"jusque_*I"
456,68,6,"en","PRE",68,"en1_+S"
457,68,7,"artois","NPR",68,"artois_Z"
458,68,8,",","PON",68,","
459,69,1,"non","NOM",69,"nom_+CIT"
460,69,2,",","PON",69,","
461,69,3,"jusques","ADV",69,"jusque_Z"
462,69,4,"en","PRE",69,"en1_+S"
463,69,5,"constantinnoble","NPR",69,"constantinople_*Z"
464,69,6,",","PON",69,","
465,70,1,"n'","PRO:clit",70,"en2_S"
466,70,2,"i","PRO:clit",70,"i2_S"
467,70,3,"eut","VER",70,"avoir|oloir_+MIdMd|+M"
468,70,4,"plus","ADV",70,"plus_CI"
469,70,5,"large","ADJ",70,"large_+IT"
470,70,6,"ne","PRO:clit",70,"en2_S"
471,70,7,"plus","ADV",70,"plus_CI"
472,70,8,"noble","ADJ",70,"noble1|noble_+IT|CI"
473,70,9,".","PON",70,"."
474,71,1,"et","CON:coord",71,"et_S"
475,71,2,"sa","DET:poss",71,"son4_S"
476,71,3,"largece","NOM",71,"largece_+IT"
477,71,4,"li","PRO:pers",71,"il_S"
478,71,5,"vali","VER",71,"valoir_+M"
479,71,6,":","PON",71,":"
480,72,1,"ja","ADV",72,"ja_+CIT"
481,72,2,"fu","VER",72,"estre1|estre_+I|CMI"
482,72,3,"uns","DET:ndf",72,"un_S"
483,72,4,"tamps","NOM",72,"tens_*+CT"
484,72,5,"qu'","PROCON",72,"que1|que2|que3|que4_S|S|S|S"
485,72,6,"on","PRO:invar",72,"on_S"
486,72,7,"l'","PRO:pers",72,"il_S"
487,72,8,"assali","VER",72,"assalir_+Z"
488,73,1,"pour","PRE",73,"por2_+S"
489,73,2,"guerriier","VER",73,"guerroiier2|guerroiier_+T|M"
490,73,3,"a","PRE",73,"a_S"
491,73,4,"tous","DET:ind",73,"tot_S"
492,73,5,"costés","NOM",73,"costé_+I"
493,73,6,",","PON",73,","
494,74,1,"mais","CON:coord",74,"mais_S"
495,74,2,"il","PRO:pers",74,"il_S"
496,74,3,"se","PRO:pers",74,"soi1_S"
497,74,4,"trouva","VER",74,"trover_*+I"
498,74,5,"acostés","VER",74,"acoster|acoter_*+IT|+M"
499,75,1,"au","PREDET:a",75,"a+le_S"
500,75,2,"besoing","NOM",75,"besoing_+IT"
501,75,3,"de","PRE",75,"de_+S"
502,75,4,"ses","DET:poss",75,"son4_S"
503,75,5,"bons","ADJ",75,"bon_+CI"
504,75,6,"amis","NOM",75,"ami_+I"
505,75,7,",","PON",75,","
506,76,1,"a","PRE",76,"a_S"
507,76,2,"cui","VER",76,"cuire_+M"
508,76,3,"donné","VER",76,"doner_+M"
509,76,4,",","PON",76,","
510,76,5,"non","ADV",76,"ne1_+Z"
511,76,6,"pas","NOM",76,"pas|past2_+IT|+T"
512,76,7,"proumis","VER",76,"prometre_*+CI"
