"wd_id","line_id","linewd","lex_id","tag","NCA_line","NCA_taggerpos","NCA_lemma","NCA_src"
1,1,1,"chaiens","ADV",103,"ADV","çaienz","+Z"
2,1,2,"est","VER:pres:3:sg",103,"VER","ester|estre1","+M|+I"
3,1,3,"li","DET:def:suj:masc:sg",103,"DET:def","le","CST"
4,1,4,"vins","NOM:suj:masc:sg",103,"NOM","vin","+I"
5,1,5,"de","PRE",103,"PRE","de","+CIST"
6,1,6,"soiscons","NPR:obj:masc:sg",103,"NPR","UNKNOWN",
7,2,1,"sor","PRE",104,"PRE","sor2|sur1","+IST|+T"
8,2,2,"l","DET:def:obj:femi:sg",104,"DET:def","le","CS"
9,2,3,"erbe","NOM:obj:femi:sg",104,"NOM","erbe","+CIT"
10,2,4,"verde","ADJ:obj:femi:sg",104,"ADJ","vert","+Z"
11,2,5,"et","CON:coord",104,"CON:coord","et","ST"
12,2,6,"sor","PRE",104,"PRE","sor2|sur1","+IST|+T"
13,2,7,"les","DET:def:obj:masc:pl",104,"DET:def","le","CST"
14,2,8,"jons","NOM:obj:masc:pl",104,"NOM","jonc","+I"
15,3,1,"on","PRO:invar",105,"PRO:invar","on","CS"
16,3,2,"i","PRO:clit",105,"PRO:clit","i2|i|y","S|C|C"
17,3,3,"boit","VER:pres:3:sg",105,"VER","boivre","+MI"
18,3,4,"a","PRE",105,"PRE","a3|a","+T|CGIS"
19,3,5,"hanap","NOM:obj:masc:sg",105,"NOM","hanap","+IT"
20,3,6,"d","PRE",105,"PRE","de","+CS"
21,3,7,"argent","NOM:obj:masc:sg",105,"NOM","argent","+CIT"
22,4,1,"caiens","ADV",106,"ADV","çaienz","+Z"
23,4,2,"boivent","VER:pres:3:pl",106,"VER","boivre","+M"
24,4,3,"tote","DET:ind:suj:femi:sg",106,"DET:ind","tot","CS"
25,4,4,"la","DET:def:suj:femi:sg",106,"DET:def","le","CST"
26,4,5,"gent","NOM:suj:femi:sg",106,"NOM","gent1|giant","+IT|+T"
27,5,1,"chaiens","ADV",107,"ADV","çaienz","+Z"
28,5,2,"boivent","VER:pres:3:pl",107,"VER","boivre","+M"
29,5,3,"et","CON:coord",107,"CON:coord","et","ST"
30,5,4,"fol","ADJ:suj:masc:pl",107,"ADJ","fol3|fol","IT|I"
31,5,5,"et","CON:coord",107,"CON:coord","et","ST"
32,5,6,"sage","ADJ:suj:masc:pl",107,"ADJ","sage","+IT"
33,6,1,"e","CON:coord",108,"CON:coord","et","ST"
34,6,2,"se","PROCON",108,"PROCON","se","C"
35,6,3,"n","PRO:clit",108,"PRO:clit","en2|ne","S|C"
36,6,4,"i","PRO:clit",108,"PRO:clit","i2|i|y","S|C|C"
37,6,5,"laisse","VER:pres:3:sg",108,"VER","laissier","+M"
38,6,6,"nus","PRO:ind:suj:masc:sg",108,"DET:ind","nul","S"
39,6,7,"son","DET:poss:obj:masc:sg",108,"DET:poss","son4|son","S|C"
40,6,8,"gaje","NOM:obj:masc:sg",108,"NOM","UNKNOWN",
41,7,1,"ne","PRO:clit",109,"PROCON","ni","C"
42,7,2,"l","PRO:pers:obj:3:masc:sg:unb",109,"PRO:pers","il","CS"
43,7,3,"estuet","VER:pres:3:sg",109,"VER","estovoir1|estovoir","+IT|MI"
44,7,4,"fors","ADV",109,"ADV","fors2|fuer1","+T|+T"
45,7,5,"conter","VER:infi",109,"VER","conter","+IT"
46,7,6,"la","DET:def:obj:femi:sg",109,"DET:def","le","CST"
47,7,7,"dete","NOM:obj:femi:sg",109,"NOM","dete","+IT"
48,8,1,"tesmoing","NOM:obj:masc:sg",110,"NOM","tesmoin","+CI"
49,8,2,"mancevaire","NPR:obj:femi:sg",110,"NPR","UNKNOWN",
50,8,3,"et","CON:coord",110,"CON:coord","et","ST"
51,8,4,"pourete","NPR:obj:femi:sg",110,"NPR","UNKNOWN",
52,9,1,"qui","PROCON",111,"PROCON","qui","CST"
53,9,2,"caiens","ADV",111,"ADV","çaienz","+Z"
54,9,3,"manguent","VER:pres:3:pl",111,"VER","mangier","+M"
55,9,4,"et","CON:coord",111,"CON:coord","et","ST"
56,9,5,"boivent","VER:pres:3:pl",111,"VER","boivre","+M"
57,10,1,"et","CON:coord",112,"CON:coord","et","ST"
58,10,2,"s","PROCON",112,"PROCON","se","C"
59,10,3,"acroient","VER:pres:3:pl",112,"VER","croire","+M"
60,10,4,"qanqu","PRO:invar",112,"PRO:invar","cant2","S"
61,10,5,"eles","PRO:pers:suj:3:femi:pl",112,"PRO:pers","ele|il","C|IS"
