"wd_id","line_id","linewd","word","lex_id","tag","textline","NCA_line","NCA_taggerpos","NCA_src","NCA_lemma"
269,36,1,"en","en","PRE",6103,36,"PRE","+IST|CI","en1|en"
270,36,2,"tapignaige","tapignaige","NOM:obj:masc:sg",6103,36,"NOM",0,"UNKNOWN"
271,36,3,"monteras","monteras","VER:futu:2:sg",6103,36,"VER","+I","monter"
272,36,4,"el","el","PREDET:en:obj:masc:sg",6103,36,"PREDET:en","S","en1+le"
273,36,5,"donjon","donjon","NOM:obj:masc:sg",6103,36,"NOM","+T","donjon"
274,37,1,"ce","ce","PROCON",6104,37,"PRO:invar","S|C","ce1|ce"
275,37,2,"vois","vois","VER:pres:2:sg",6104,37,"VER","+MI|M","aler|voir"
276,37,3,"m","m'","DET:poss:obj:femi:sg",6104,37,"DET:poss","S|C","mon1|mon"
277,37,4,"amie","amie","NOM:obj:femi:sg",6104,37,"NOM","+IT|+T","ami|mie2"
278,37,5,"conte","conte","VER:impe:2:sg",6104,37,"VER","+I","conter"
279,37,6,"li","li","PRO:pers:suj:3:masc:sg:bet",6104,37,"PRO:pers","C|CIST","ele|il"
280,37,7,"ta","ta","DET:poss:obj:femi:sg",6104,37,"DET:poss","S","ton4"
281,37,8,"raison","raison","NOM:obj:femi:sg",6104,37,"NOM","+CIT","raison"
282,38,1,"parole","parole","VER:impe:2:sg",6105,38,"VER","+MI","parler"
283,38,2,"a","a","PRE",6105,38,"PRE","+T|CGIS","a3|a"
284,38,3,"li","li","PRO:pers:acc:3:femi:sg:bet",6105,38,"PRO:pers","C|CIST","ele|il"
285,38,4,"coiement","coiement","ADV",6105,38,"ADV","I","coiement"
286,38,5,"a","a","PRE",6105,38,"PRE","+T|CGIS","a3|a"
287,38,6,"larron","larron","NOM:obj:masc:sg",6105,38,"NOM","+IT","larron"
288,39,1,"et","et","CON:coord",6106,39,"CON:coord","ST","et"
289,39,2,"si","si","PROCON",6106,39,"PROCON","c'","si"
290,39,3,"li","li","PRO:pers:suj:3:masc:sg:bet",6106,39,"PRO:pers","C|CIST","ele|il"
291,39,4,"dis","dis","VER:impe:2:sg",6106,39,"VER","+CMI","dire"
292,39,5,"que","que","PROCON",6106,39,"PROCON","T|S|C","que2|que3|que"
293,39,6,"nos","nos","PRO:pers:1:pl",6106,39,"PRO:pers","S|C","nos1|nos"
294,39,7,"la","la","PRO:pers:acc:3:fem:sg",6106,39,"PRO:pers",0,"ele|la"
295,39,8,"saluon","saluon","VER:pres:1:pl",6106,39,"VER",0,"UNKNOWN"
296,40,1,"sire","sire","NOM:suj:masc:sg",6107,40,"NOM","+CIT|+T","seignor|sire2"
297,40,2,"""","""","PON:cit",6107,40,"PON:cit",0,"QUOTED"
298,40,3,"dist","dist","VER:simp:3:sg",6107,40,"VER","+CMI","dire"
299,40,4,"il","il","PRO:pers:suj:3:masc:sg:unb",6107,40,"PRO:pers","CIST","il"
300,40,5,"""","""","PON:cit",6107,40,"PON:cit",0,"QUOTES"
301,40,6,"a","a","PRE",6107,40,"PRE","+T|CGIS","a3|a"
302,40,7,"dieu","dieu","NOM:obj:masc:sg",6107,40,"NOM","+CIT","dieu"
303,40,8,"beneicon","beneicon","NOM:obj:femi:sg",6107,40,"NOM","+IdTd","benëiçon"
304,40,9,"""","""","PON:cit",6107,40,"PON:cit",0,"QUOTED"
305,41,1,"atant","atant","ADV",6108,41,"ADV","CI|I","atant|tant"
306,41,2,"depart","depart","VER:pres:3:sg",6108,41,"VER","+I","departir"
307,41,3,"sans","sans","PRE",6108,41,"PRE","+IST|C","sans|senz"
308,41,4,"nulle","nulle","DET:ind:obj:femi:sg",6108,41,"DET:ind","CS","nul"
309,41,5,"arestison","arestison","NOM:obj:femi:sg",6108,41,"NOM",0,"UNKNOWN"
310,42,1,"li","li","DET:def:suj:masc:sg",6109,42,"DET:def","CST","le"
311,42,2,"mes","mes","NOM:suj:masc:sg",6109,42,"NOM","+T|+T|+T|+T|+IT|+T","mas|mes1|mes2|mes3|mes4|mois"
312,42,3,"s","s","PROCON",6109,42,"PROCON","c'","se"
