"wd_id","line_id","linewd","lex_id","tag","textlineid","TT lemma"
346,52,4,"vus","PRO:pers",53,"vos1_S"
347,52,5,"en","PRO:clit",53,"en2_S"
348,52,6,"venra","VER",53,"venir_+CI"
349,52,7,".","PON",53,"."
350,53,1,"ay","INT",54,"hay!_*+TTd"
351,53,2,"my","GDF",54,"mi|moi_G|G"
352,53,3,"!","PON",54,"!"
353,53,4,"amour","NOM",54,"amor_+G"
354,53,5,"!","PON",54,"!"
355,53,6,"ie","PRO:pers",54,"je_S"
356,53,7,"voy","VER",54,"aler|voir_+M|M"
357,53,8,"droit","ADJ",54,"dreste|droit2|droit_+T|C|IT"
358,53,9,"là","DET:def",54,"le_S"
359,54,1,"cele","NOM",55,"cele_+T"
360,54,2,"que","PROCON",55,"que3_S"
361,54,3,"i'","PRO:clit",55,"i2_S"
362,54,4,"aie","VER",55,"aidier|avoir_+MIdMd|+CMIMd"
363,54,5,"tant","ADV",55,"tant_CI"
364,54,6,"deziree","VER",55,"<unknown>"
365,54,7,"!","PON",55,"!"
366,55,1,"dire","VER",56,"dire_+MIT"
367,55,2,"ly","PRO:pers",56,"il_S"
368,55,3,"volraye","VER",56,"<unknown>"
369,55,4,"ma","DET:poss",56,"mon1_S"
370,55,5,"pensee","NOM",56,"pensee_+IT"
371,55,6,",","PON",56,","
372,56,1,"mains","ADV",57,"moins_I"
373,56,2,"qui","PROCON",57,"qui_S"
374,56,3,"accordeir","VER",57,"<unknown>"
375,56,4,"le","PRO:pers",57,"il_S"
376,56,5,"me","PRO:pers",57,"je_S"
377,56,6,"veulhiés","VER",57,"<unknown>"
378,56,7,".","PON",57,"."
379,57,1,"foy","NOM",58,"foi_+C"
380,57,2,",","PON",58,","
381,57,3,"gardeis","VER",58,"garder_+M"
382,57,4,"bien","ADV",58,"bien1|bien2|bien_+IT|C|I"
383,57,5,"que","PROCON",58,"que3_S"
384,57,6,"vos","PRO:pers",58,"vos1_S"
385,57,7,"faciés","VER",58,"faire_+M"
386,58,1,"et","CON:coord",59,"et_S"
387,58,2,"coment","ADV",59,"coment1|coment_+T|I"
388,58,3,"vus","PRO:pers",59,"vos1_S"
389,58,4,"parleis","VER",59,"parler_*+M"
390,58,5,"à","PRE",59,"a_S"
391,58,6,"elhe","NOM",59,"<unknown>"
392,58,7,":","PON",59,":"
393,59,1,"c'","PRO:invar",60,"ce1_S"
394,59,2,"est","VER",60,"ester|estre1_+M|+I"
395,59,3,"loyalté","VER",60,"<unknown>"
396,59,4,"la","DET:def",60,"le_S"
397,59,5,"bone","ADJ",60,"bon_+CI"
398,59,6,"et","CON:coord",60,"et_S"
399,59,7,"belle","ADJ",60,"bel|belet_*I|T"
400,59,8,",","PON",60,","
401,60,1,"que","PROCON",61,"que3_S"
402,60,2,"prudence","NOM",61,"prudence_+T"
403,60,3,"at","VER",61,"avoir|estre_+IM|M"
404,60,4,"en","PRE",61,"en1_+S"
405,60,5,"gouernance","NOM",61,"<unknown>"
406,60,6,".","PON",61,"."
407,61,1,"amour","NOM",62,"amor_+G"
408,61,2,",","PON",62,","
409,61,3,"par","PRE",62,"par_S"
