"wd_id","line_id","linewd","lex_id","tag","TT lemma"
1731,267,2,"ce","PRO:invar","ce1_S"
1732,267,3,"di","VER","dire_+MI"
1733,267,4,"ge","PRO:pers","je_S"
1734,267,5,"pour","PRE","por2_+S"
1735,267,6,"veritét","NOM","<nolem>"
1736,267,7,".","PON","."
1737,268,1,"or","ADV","or4|or_+IT|CI"
1738,268,2,"ait","VER","aidier|avoir_+MIdMd|+CIM"
1739,268,3,"diex","NOM","dieu_*+CIT"
1740,268,4,"des","PREDET:de","de+le_S"
1741,268,5,"ames","NOM","ame_+CI"
1742,268,6,"pitét","NOM","pitié_+I"
1743,268,7,":","PON",":"
1744,269,1,"tout","PRO:ind","tot_S"
1745,269,2,"sont","VER","estre1|estre_+I|CMI"
1746,269,3,"mort","NOM","mort_+CIT"
1747,269,4,",","PON",","
1748,269,5,"et","CON:coord","et_S"
1749,269,6,"jou","PRO:pers","je_S"
1750,269,7,"seus","VER","savoir|soloir_+IdMMd|+M"
1751,269,8,"vivoie","VER","vivre_*M"
1752,269,9,",","PON",","
1753,270,1,"quant","ADV","cant_C"
1754,270,2,"cest","DET:demo","cest_S"
1755,270,3,"registre","NOM","registre_+T"
1756,270,4,"pourpensoye","VER","<unknown>"
1757,270,5,".","PON","."
1758,271,1,"men","DET:poss","mon1_S"
1759,271,2,"sauveur","NOM","sauvëor_*+IIdTd"
1760,271,3,"jhesu","NPR","jesu_I|Z"
1761,271,4,"regrascie","VER","<unknown>"
1762,272,1,"et","CON:coord","et_S"
1763,272,2,"se","DET:poss","son4_S"
1764,272,3,"douce","ADJ","douz_+IT"
1765,272,4,"mere","NOM","mere_+CIT"
1766,272,5,"marie","NPR","marie_CI|Z"
1767,272,6,",","PON",","
1768,273,1,"quant","ADV","cant_C"
1769,273,2,"tant","ADV","tant_CI"
1770,273,3,"de","PRE","de_+S"
1771,273,4,"vie","NOM","vie1|voie_+T|+T"
1772,273,5,"m'","PRO:pers","je_S"
1773,273,6,"a","VER","avoir_+CMI"
1774,273,7,"prestét","VER","<nolem>"
1775,273,8,",","PON",","
1776,274,1,"elas","NOM","<unknown>"
1777,274,2,"!","PON","!"
1778,274,3,"mes","VER","manoir1_+T"
1779,274,4,"que","PROCON","que3_S"
1780,274,5,"j'","PRO:pers","je_S"
1781,274,6,"ewisse","VER","<unknown>"
1782,274,7,"estét","VER","ester|estre_+M|IM"
1783,275,1,"religieus","ADJ","religïos_+IId"
1784,275,2,"vrais","ADJ","verai_*+T"
1785,275,3,"un","DET:ndf","un_S"
1786,275,4,"seul","ADJ","sol1|sol_+IT|I"
1787,275,5,"jour","NOM","jor_+C"
1788,275,6,",","PON",","
1789,276,1,"par","PRE","par_S"
1790,276,2,"quoy","PRO:invar","coi2_S"
1791,276,3,"mainé","VER","<unknown>"
1792,276,4,"boin","ADJ","bon_+Z"
1793,276,5,"eust","VER","avoir_+CMMdId"
